title,author,abstractstract,main_subject,other_subjects,submission_date
Duration-of-Stay Storage Assignment under Uncertainty,"Michael Lingzhi Li, Elliott Wolf, Daniel Wintz","Optimizing storage assignment is a central problem in warehousing. Past
literature has shown the superiority of the Duration-of-Stay (DoS) method in
assigning pallets, but the methodology requires perfect prior knowledge of DoS
for each pallet, which is unknown and uncertain under realistic conditions. The
dynamic nature of a warehouse further complicates the validity of synthetic
data testing that is often conducted for algorithms. In this paper, in
collaboration with a large cold storage company, we release the first publicly
available set of warehousing records to facilitate research into this central
problem. We introduce a new framework for storage assignment that accounts for
uncertainty in warehouses. Then, by utilizing a combination of convolutional
and recurrent neural network models, ParallelNet, we show that it is able to
predict future shipments well: it achieves up to 29% decrease in MAPE compared
to CNN-LSTM on unseen future shipments, and suffers less performance decay over
time. The framework is then integrated into a first-of-its-kind Storage
Assignment system, which is being piloted in warehouses across the country,
with initial results showing up to 19% in labor savings.",Machine Learning (cs.LG),; Machine Learning (stat.ML),"[Submitted on 12 Mar 2019 (v1), last revised 1 Feb 2020 (this version, v3)]"
Age of Information in a Multiple Access Channel with Heterogeneous Traffic and an Energy Harvesting Node,"Zheng Chen, Nikolaos Pappas, Emil Björnson, Erik G. Larsson","Age of Information (AoI) is a newly appeared concept and metric to
characterize the freshness of data. In this work, we study the delay and AoI in
a multiple access channel (MAC) with two source nodes transmitting different
types of data to a common destination. The first node is grid-connected and its
data packets arrive in a bursty manner, and at each time slot it transmits one
packet with some probability. Another energy harvesting (EH) sensor node
generates a new status update with a certain probability whenever it is
charged. We derive the delay of the grid-connected node and the AoI of the EH
sensor as functions of different parameters in the system. The results show
that the mutual interference has a non-trivial impact on the delay and age
performance of the two nodes.",Information Theory (cs.IT),; Networking and Internet Architecture (cs.NI),[Submitted on 12 Mar 2019]
Efficient Optimization of Echo State Networks for Time Series Datasets,"Jacob Reinier Maat, Nikos Gianniotis, Pavlos Protopapas","Echo State Networks (ESNs) are recurrent neural networks that only train
their output layer, thereby precluding the need to backpropagate gradients
through time, which leads to significant computational gains. Nevertheless, a
common issue in ESNs is determining its hyperparameters, which are crucial in
instantiating a well performing reservoir, but are often set manually or using
heuristics. In this work we optimize the ESN hyperparameters using Bayesian
optimization which, given a limited budget of function evaluations, outperforms
a grid search strategy. In the context of large volumes of time series data,
such as light curves in the field of astronomy, we can further reduce the
optimization cost of ESNs. In particular, we wish to avoid tuning
hyperparameters per individual time series as this is costly; instead, we want
to find ESNs with hyperparameters that perform well not just on individual time
series but rather on groups of similar time series without sacrificing
predictive performance significantly. This naturally leads to a notion of
clusters, where each cluster is represented by an ESN tuned to model a group of
time series of similar temporal behavior. We demonstrate this approach both on
synthetic datasets and real world light curves from the MACHO survey. We show
that our approach results in a significant reduction in the number of ESN
models required to model a whole dataset, while retaining predictive
performance for the series in each cluster.",Neural and Evolutionary Computing (cs.NE),; Machine Learning (cs.LG); Machine Learning (stat.ML),[Submitted on 12 Mar 2019]
Characterization of Local Attitudes Toward Immigration Using Social Media,"Yerka Freire, Eduardo Graells-Garrido","Migration is a worldwide phenomenon that may generate different reactions in
the population. Attitudes vary from those that support multiculturalism and
communion between locals and foreigners, to contempt and hatred toward
immigrants. Since anti-immigration attitudes are often materialized in acts of
violence and discrimination, it is important to identify factors that
characterize these attitudes. However, doing so is expensive and impractical,
as traditional methods require enormous efforts to collect data. In this paper,
we propose to leverage Twitter to characterize local attitudes toward
immigration, with a case study on Chile, where immigrant population has
drastically increased in recent years. Using semi-supervised topic modeling, we
situated 49K users into a spectrum ranging from in-favor to against
immigration. We characterized both sides of the spectrum in two aspects: the
emotions and lexical categories relevant for each attitude, and the discussion
network structure. We found that the discussion is mostly driven by Haitian
immigration; that there are temporal trends in tendency and polarity of
discussion; and that assortative behavior on the network differs with respect
to attitude. These insights may inform policy makers on how people feel with
respect to migration, with potential implications on communication of policy
and the design of interventions to improve inter-group relations.",Social and Information Networks (cs.SI),; Computers and Society (cs.CY),[Submitted on 12 Mar 2019]
A Formal Safety Net for Waypoint Following in Ground Robots,"Brandon Bohrer, Yong Kiam Tan, Stefan Mitsch, Andrew Sogokon, André Platzer","We present a reusable formally verified safety net that provides end-to-end
safety and liveness guarantees for 2D waypoint-following of Dubins-type ground
robots with tolerances and acceleration. We: i) Model a robot in differential
dynamic logic (dL), and specify assumptions on the controller and robot
kinematics, ii) Prove formal safety and liveness properties for
waypoint-following with speed limits, iii) Synthesize a monitor, which is
automatically proven to enforce model compliance at runtime, and iv) Our use of
the VeriPhy toolchain makes these guarantees carry over down to the level of
machine code with untrusted controllers, environments, and plans. The
guarantees for the safety net apply to any robot as long as the waypoints are
chosen safely and the physical assumptions in its model hold. Experiments show
these assumptions hold in practice, with an inherent trade-off between
compliance and performance.",Robotics (cs.RO),; Logic in Computer Science (cs.LO); Systems and Control (eess.SY),"[Submitted on 12 Mar 2019 (v1), last revised 18 Jun 2019 (this version, v3)]"
Decay Replay Mining to Predict Next Process Events,"Julian Theis, Houshang Darabi","In complex processes, various events can happen in different sequences. The
prediction of the next event given an a-priori process state is of importance
in such processes. Recent methods have proposed deep learning techniques such
as recurrent neural networks, developed on raw event logs, to predict the next
event from a process state. However, such deep learning models by themselves
lack a clear representation of the process states. At the same time, recent
methods have neglected the time feature of event instances. In this paper, we
take advantage of Petri nets as a powerful tool in modeling complex process
behaviors considering time as an elemental variable. We propose an approach
which starts from a Petri net process model constructed by a process mining
algorithm. We enhance the Petri net model with time decay functions to create
continuous process state samples. Finally, we use these samples in combination
with discrete token movement counters and Petri net markings to train a deep
learning model that predicts the next event. We demonstrate significant
performance improvements and outperform the state-of-the-art methods on nine
real-world benchmark event logs.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"[Submitted on 12 Mar 2019 (v1), last revised 26 Aug 2019 (this version, v3)]"
Empirical analysis of the variability in the flow-density relationship for smart motorways,"Kieran Kalair, Colm Connaughton","The fundamental diagram is an assumed functional relationship between traffic
flow and traffic density. In practice, this relationship is noisy and exhibits
significant statistical variability. On smart motorways, this variability is
increased by variable speed limits that are not captured by the fundamental
diagram. To study this variability, it is appropriate to consider the joint
probability distribution function (pdf) of density and flow. We perform an
empirical study of the variability in the relationship between flow and density
using 74 days of data from 64 sections of London's M25. The objectives are to
determine how much of the variability in the flow-density relationship results
from variable speed limits and to assess whether particular functional forms of
the fundamental diagram are systematically preferred. Empirically, the joint
pdf of flow and density is strongly bimodal, illustrating that traffic flows
are often found in high-density or low-density regimes but rarely in between.
We find that the high-density regime is strongly affected by variable speed
limits whereas the low-density regime is not. The Daganzo-Newell (triangular)
model of the fundamental diagram systematically fits best to the data. However,
the optimal parameters vary with location. Clustering analysis of these
parameters suggests three qualitatively different types of flow-density
relationships applying to different sections of the M25. These clusters have
natural interpretations in terms of the frequency and severity of flow
breakdown. Accident rates also depend on cluster type suggesting possible links
to other properties of traffic flows beyond the flow-density relationship.",Computers and Society (cs.CY),; Physics and Society (physics.soc-ph),[Submitted on 12 Mar 2019]
"Induction, Coinduction, and Fixed Points in PL Type Theory",Moez A. AbdelGawad,"Recently we presented a concise survey of the formulation of the induction
and coinduction principles, and some concepts related to them, in programming
languages type theory and four other mathematical disciplines. The presentation
in type theory involved the separate formulation of these concepts, first, in
the theory of types of functional programming languages and, next, in the
theory of types of object-oriented programming languages. In this article we
show that separating these two formulations helps demonstrate some of the
fundamental differences between structural subtyping, predominant in functional
programming languages, and nominal subtyping, predominant in object-oriented
programming languages---including differences concerning type negation and
concerning the existence of inductive types, of coinductive types, and of
approximations thereof. In the article we also motivate mutual coinduction and
mutual coinductive types, and their approximations, and we discuss in brief the
potential relevance of these concepts to object-oriented programming (OOP) type
theory.",Logic in Computer Science (cs.LO),; Programming Languages (cs.PL); Category Theory (math.CT),[Submitted on 26 Feb 2019]
"Induction, Coinduction, and Fixed Points: Intuitions and Tutorial",Moez A. AbdelGawad,"Recently we presented a concise survey of the formulation of the induction
and coinduction principles, and some concepts related to them, in five
different fields mathematical fields, hence shedding some light on the precise
relation between these fields. In this article we present few tutorial
examples---from set theory, number theory and real analysis---that illustrate
these concepts, and the intuitions behind them, more concretely.",Logic in Computer Science (cs.LO),,[Submitted on 26 Feb 2019]
A Distributed Hierarchical SGD Algorithm with Sparse Global Reduction,"Fan Zhou, Guojing Cong","Reducing communication in training large-scale machine learning applications
on distributed platform is still a big challenge. To address this issue, we
propose a distributed hierarchical averaging stochastic gradient descent
(Hier-AVG) algorithm with infrequent global reduction by introducing local
reduction. As a general type of parallel SGD, Hier-AVG can reproduce several
popular synchronous parallel SGD variants by adjusting its parameters. We show
that Hier-AVG with infrequent global reduction can still achieve standard
convergence rate for non-convex optimization problems. In addition, we show
that more frequent local averaging with more participants involved can lead to
faster training convergence. By comparing Hier-AVG with another popular
distributed training algorithm K-AVG, we show that through deploying local
averaging with fewer number of global averaging, Hier-AVG can still achieve
comparable training speed while frequently get better test accuracy. This
indicates that local averaging can serve as an alternative remedy to
effectively reduce communication overhead when the number of learners is large.
Experimental results of Hier-AVG with several state-of-the-art deep neural nets
on CIFAR-10 and IMAGENET-1K are presented to validate our analysis and show its
superiority.",Machine Learning (cs.LG),"; Distributed, Parallel, and Cluster Computing (cs.DC); Optimization and Control (math.OC); Machine Learning (stat.ML)","[Submitted on 12 Mar 2019 (v1), last revised 9 Sep 2019 (this version, v2)]"
